DATES,GOOGLE,MET OFFICE,WEATHER CHANNEL,BBC,UNDERGROUND,WEATHER NETWORK,WEATHER WORLD,ACCU_WEATHER,ACTUAL THE HIGHEST TEMPERATURE,DEEPSEEK_PREDICTION
14.04.2025,60,62,61,62,60,62,NaN,NaN,61,NaN
15.04.2025,64,65,64,64,63,64,NaN,NaN,63,NaN
16.04.2025,59,61,59,60,58,60,NaN,NaN,59,NaN
17.04.2025,62,64,63,63,63,62,NaN,NaN,61,NaN
18.04.2025,61,62,60,63,61,64,NaN,NaN,63,NaN
19.04.2025,60,59,59,60,58,59,NaN,NaN,59,NaN
20.04.2025,58,61,58,60,56,59,NaN,NaN,55,NaN
21.04.2025,61,61,61,62,62,63,NaN,NaN,61,NaN
22.04.2025,63,65,63,64,63,64,NaN,NaN,63,NaN
23.04.2025,55,60,57,58,56,57,NaN,NaN,54,NaN
24.04.2025,59,64,60,62,60,61,NaN,NaN,59,NaN
25.04.2025,61,62,60,61,59,59,NaN,NaN,57,NaN
26.04.2025,63,65,65,65,63,63,NaN,NaN,63,NaN
27.04.2025,68,71,71,71,70,68,NaN,NaN,70,NaN
28.04.2025,75,74,74,73,73,73,NaN,NaN,72,NaN
29.04.2025,72,75,74,77,74,72,NaN,NaN,70,NaN
30.04.2025,77,80,79,79,78,77,NaN,NaN,75,NaN
01.05.2025,82,85,83,84,83,81,NaN,NaN,82,NaN
02.05.2025,77,78,75,81,75,77,NaN,NaN,75,NaN
03.05.2025,69,71,68,71,69,70,NaN,NaN,68,NaN
04.05.2025,54,59,56,57,55,55,NaN,NaN,55,NaN
05.05.2025,55,61,57,59,57,57,NaN,NaN,55,NaN
06.05.2025,57,61,57,59,56,57,NaN,NaN,57,NaN
07.05.2025,62,66,61,63,61,61,NaN,NaN,59,NaN
08.05.2025,62,66,62,64,62,61,NaN,NaN,59,NaN
09.05.2025,63,67,67,66,66,64,NaN,NaN,64,NaN
10.05.2025,71,73,72,71,72,70,NaN,NaN,70,NaN
11.05.2025,74,78,76,79,75,73,NaN,NaN,73,NaN
12.05.2025,71,75,73,73,73,73,NaN,NaN,77,NaN
13.05.2025,73,78,74,75,73,73,NaN,NaN,73,NaN
14.05.2025,73,75,73,76,71,72,70,NaN,70,NaN
15.05.2025,64,68,62,69,61,63,57,NaN,57,NaN
16.05.2025,67,71,68,69,67,68,67,66,63,73-75
17.05.2025,69,72,69,69,69,70,69,71,64,66-70
18.05.2025,64,71,63,66,66,63,64,63,61,63-67
19.05.2025,66,68,66,67,65,66,66,69,68,63–65
20.05.2025,71,74,71,74,71,68,68,74,72,69–71
21.05.2025,65,66,65,64,65,64,69,66,64,64–66
22.05.2025,57,60,58,59,58,57,57,59,57,57–59
23.05.2025,65,68,66,65,67,65,66,67,68,64–66
24.05.2025,69,71,68,69,68,67,73,68,72,67–69
25.05.2025,67,71,67,70,67,68,68,69,64,66-68
26.05.2025,62,66,62,63,63,63,64,63,64,61–63
27.05.2025,62,63,61,62,62,63,62,62,63,61–63
28.05.2025,68,71,69,69,69,68,68,70,70,67–71
29.05.2025,72,75,73,73,73,73,75,73,77,72-75
30.05.2025,75,79,76,77,76,77,77,78,77,74-78
31.05.2025,80,79,79,79,80,77,77,80,79,78–80
01.06.2025,70,71,69,70,69,70,70,71,72,68–72
02.06.2025,70,73,70,71,71,72,69,72,70,69–73
03.06.2025,66,68,65,65,64,66,62,63,63,63-65
04.06.2025,64,67,65,65,65,66,65,66,66,64–66
05.06.2025,63,66,62,63,62,63,62,62,61,61–65
06.06.2025,66,69,66,67,66,66,67,68,68,64–67
07.06.2025,63,64,62,62,62,63,62,62,64,60–64
08.06.2025,64,66,65,63,65,63,64,65,66,62-68
09.06.2025,66,68,68,68,69,66,66,69,70,65–70
10.06.2025,72,70,73,72,73,72,69,73,72,70–74
11.06.2025,75,77,76,75,74,72,73,76,72,72–76
12.06.2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.06.2025,83,84,82,83,83,82,81,84,84,82–84
14.06.2025,73,77,74,75,75,73,74,75,77,73-77
15.06.2025,76,76,75,74,76,75,74,75,75,74–76
16.06.2025,83,80,79,79,80,81,79,80,79,79–81
17.06.2025,80,81,82,81,83,81,80,82,81,81–82
18.06.2025,83,84,84,82,84,82,82,83,82,82–84
19.06.2025,89,90,88,88,87,84,85,88,88,86–88
20.06.2025,82,85,84,83,83,82,80,84,81,83–85
21.06.2025,89,89,90,93,90,90,91,90,90,89–91
22.06.2025,80,80,78,79,79,81,80,80,79,78–80
23.06.2025,73,75,72,74,75,73,74,74,73,73–75
24.06.2025,79,78,78,77,78,77,75,78,81,76–78
25.06.2025,82,84,81,82,82,82,84,82,82,78–80
26.06.2025,77,78,75,78,76,79,79,77,77,76–78
27.06.2025,80,81,80,80,81,79,82,80,81,79–81
28.06.2025,84,86,84,83,84,82,83,84,86,83–85
29.06.2025,86,87,86,87,86,86,87,87,86,82–84
30.06.2025,91,92,91,91,91,91,91,92,90,90–92
01.07.2025,91,93,92,92,93,91,93,93,,90-92
02.07.2025,,,,,,,,,,
03.07.2025,,,,,,,,,,
04.07.2025,,,,,,,,,,
05.07.2025,,,,,,,,,,
06.07.2025,,,,,,,,,,
07.07.2025,,,,,,,,,,
08.07.2025,,,,,,,,,,
09.07.2025,,,,,,,,,,
10.07.2025,,,,,,,,,,
11.07.2025,,,,,,,,,,
12.07.2025,,,,,,,,,,
13.07.2025,,,,,,,,,,
14.07.2025,,,,,,,,,,
15.07.2025,,,,,,,,,,
16.07.2025,,,,,,,,,,
17.07.2025,,,,,,,,,,
18.07.2025,,,,,,,,,,
19.07.2025,,,,,,,,,,
20.07.2025,,,,,,,,,,
21.07.2025,,,,,,,,,,
22.07.2025,,,,,,,,,,
23.07.2025,,,,,,,,,,
24.07.2025,,,,,,,,,,
25.07.2025,,,,,,,,,,
26.07.2025,,,,,,,,,,
27.07.2025,,,,,,,,,,
28.07.2025,,,,,,,,,,
29.07.2025,,,,,,,,,,
30.07.2025,,,,,,,,,,
31.07.2025,,,,,,,,,,
01.08.2025,,,,,,,,,,
02.08.2025,,,,,,,,,,
03.08.2025,,,,,,,,,,
04.08.2025,,,,,,,,,,
05.08.2025,,,,,,,,,,
06.08.2025,,,,,,,,,,
07.08.2025,,,,,,,,,,
08.08.2025,,,,,,,,,,
09.08.2025,,,,,,,,,,
10.08.2025,,,,,,,,,,
11.08.2025,,,,,,,,,,
12.08.2025,,,,,,,,,,
13.08.2025,,,,,,,,,,
14.08.2025,,,,,,,,,,
15.08.2025,,,,,,,,,,
16.08.2025,,,,,,,,,,
17.08.2025,,,,,,,,,,
18.08.2025,,,,,,,,,,
19.08.2025,,,,,,,,,,
20.08.2025,,,,,,,,,,
21.08.2025,,,,,,,,,,
22.08.2025,,,,,,,,,,
23.08.2025,,,,,,,,,,
24.08.2025,,,,,,,,,,
25.08.2025,,,,,,,,,,
26.08.2025,,,,,,,,,,
27.08.2025,,,,,,,,,,
28.08.2025,,,,,,,,,,
29.08.2025,,,,,,,,,,
30.08.2025,,,,,,,,,,
31.08.2025,,,,,,,,,,
01.09.2025,,,,,,,,,,
02.09.2025,,,,,,,,,,
03.09.2025,,,,,,,,,,
04.09.2025,,,,,,,,,,
05.09.2025,,,,,,,,,,
06.09.2025,,,,,,,,,,
07.09.2025,,,,,,,,,,
08.09.2025,,,,,,,,,,
09.09.2025,,,,,,,,,,
10.09.2025,,,,,,,,,,
11.09.2025,,,,,,,,,,
12.09.2025,,,,,,,,,,
13.09.2025,,,,,,,,,,
14.09.2025,,,,,,,,,,
15.09.2025,,,,,,,,,,
16.09.2025,,,,,,,,,,
17.09.2025,,,,,,,,,,
18.09.2025,,,,,,,,,,
19.09.2025,,,,,,,,,,
20.09.2025,,,,,,,,,,
21.09.2025,,,,,,,,,,
22.09.2025,,,,,,,,,,
23.09.2025,,,,,,,,,,
24.09.2025,,,,,,,,,,
25.09.2025,,,,,,,,,,
26.09.2025,,,,,,,,,,
27.09.2025,,,,,,,,,,
28.09.2025,,,,,,,,,,
29.09.2025,,,,,,,,,,
30.09.2025,,,,,,,,,,
01.10.2025,,,,,,,,,,
02.10.2025,,,,,,,,,,
03.10.2025,,,,,,,,,,
04.10.2025,,,,,,,,,,
05.10.2025,,,,,,,,,,
06.10.2025,,,,,,,,,,
07.10.2025,,,,,,,,,,
08.10.2025,,,,,,,,,,
09.10.2025,,,,,,,,,,
10.10.2025,,,,,,,,,,
11.10.2025,,,,,,,,,,
12.10.2025,,,,,,,,,,
13.10.2025,,,,,,,,,,
14.10.2025,,,,,,,,,,
15.10.2025,,,,,,,,,,
16.10.2025,,,,,,,,,,
17.10.2025,,,,,,,,,,
18.10.2025,,,,,,,,,,
19.10.2025,,,,,,,,,,
20.10.2025,,,,,,,,,,
21.10.2025,,,,,,,,,,
22.10.2025,,,,,,,,,,
23.10.2025,,,,,,,,,,
24.10.2025,,,,,,,,,,
25.10.2025,,,,,,,,,,
26.10.2025,,,,,,,,,,
27.10.2025,,,,,,,,,,
28.10.2025,,,,,,,,,,
29.10.2025,,,,,,,,,,
30.10.2025,,,,,,,,,,
31.10.2025,,,,,,,,,,
01.11.2025,,,,,,,,,,
02.11.2025,,,,,,,,,,
03.11.2025,,,,,,,,,,
04.11.2025,,,,,,,,,,
05.11.2025,,,,,,,,,,
06.11.2025,,,,,,,,,,
07.11.2025,,,,,,,,,,
08.11.2025,,,,,,,,,,
09.11.2025,,,,,,,,,,
10.11.2025,,,,,,,,,,
11.11.2025,,,,,,,,,,
12.11.2025,,,,,,,,,,
13.11.2025,,,,,,,,,,
14.11.2025,,,,,,,,,,
15.11.2025,,,,,,,,,,
16.11.2025,,,,,,,,,,
17.11.2025,,,,,,,,,,
18.11.2025,,,,,,,,,,
19.11.2025,,,,,,,,,,
20.11.2025,,,,,,,,,,
21.11.2025,,,,,,,,,,
22.11.2025,,,,,,,,,,
23.11.2025,,,,,,,,,,
24.11.2025,,,,,,,,,,
25.11.2025,,,,,,,,,,
26.11.2025,,,,,,,,,,
27.11.2025,,,,,,,,,,
28.11.2025,,,,,,,,,,
29.11.2025,,,,,,,,,,
30.11.2025,,,,,,,,,,
01.12.2025,,,,,,,,,,
02.12.2025,,,,,,,,,,
03.12.2025,,,,,,,,,,
04.12.2025,,,,,,,,,,
05.12.2025,,,,,,,,,,
06.12.2025,,,,,,,,,,
07.12.2025,,,,,,,,,,
08.12.2025,,,,,,,,,,
09.12.2025,,,,,,,,,,
10.12.2025,,,,,,,,,,
11.12.2025,,,,,,,,,,
12.12.2025,,,,,,,,,,
13.12.2025,,,,,,,,,,
14.12.2025,,,,,,,,,,
15.12.2025,,,,,,,,,,
16.12.2025,,,,,,,,,,
17.12.2025,,,,,,,,,,
18.12.2025,,,,,,,,,,
19.12.2025,,,,,,,,,,
20.12.2025,,,,,,,,,,
21.12.2025,,,,,,,,,,
22.12.2025,,,,,,,,,,
23.12.2025,,,,,,,,,,
24.12.2025,,,,,,,,,,
25.12.2025,,,,,,,,,,
26.12.2025,,,,,,,,,,
27.12.2025,,,,,,,,,,
28.12.2025,,,,,,,,,,
29.12.2025,,,,,,,,,,
30.12.2025,,,,,,,,,,
31.12.2025,,,,,,,,,,
